unique,episode,number_characters,tension,happy,crime,gruesomeness,romantic,dexter_inner_thoughts,location,dead_body_count,detectives_at_scence,funniness,scene_time,crime_solved,lighting,blood_sample,interaction_with_sister,dexter_screentime
1_1,1,1,3,0,0,0,0,1,4,0,0,1,58,0,1,0,0,19
1_2,1,2,3,0,1,1,0,0,4,0,0,1,78,0,1,0,0,20
1_3,1,2,3,0,1,1,0,0,4,0,0,1,60,0,1,0,0,39
1_4,1,2,3,0,1,1,0,0,4,4,0,1,162,1,1,1,0,116
1_5,1,2,1,0,0,0,0,1,4,0,0,1,95,0,4,0,0,87
1_6,1,1,2,1,0,1,0,1,1,0,0,3,96,1,3,0,1,77
1_7,1,5,3,0,1,1,1,5,3,1,1,2,271,0,5,0,1,141
1_8,1,4,2,0,0,0,0,3,2,2,1,2,240,0,4,0,1,155
1_9,1,1,1,0,1,1,0,0,3,0,1,2,65,0,4,0,0,57
1_10,1,2,2,0,0,0,0,1,4,0,0,1,50,0,5,0,0,35
1_11,1,1,3,0,1,0,0,2,4,0,0,1,165,0,2,0,0,114
1_12,1,1,1,0,0,0,1,1,4,0,0,1,40,0,2,0,0,22
1_13,1,2,1,0,0,0,1,2,4,0,0,1,98,0,3,0,0,58
1_14,1,3,3,0,1,1,1,2,3,1,1,1,160,0,2,0,0,70
1_15,1,2,3,0,0,0,1,1,4,0,0,1,59,0,2,0,0,47
1_16,1,2,3,0,0,0,0,2,1,0,0,1,210,0,1,0,0,125
1_17,1,1,2,1,0,0,0,1,1,0,0,1,14,0,3,0,0,10
1_18,1,1,3,1,0,0,0,1,4,0,0,1,14,0,4,0,0,14
1_19,1,2,3,0,0,0,0,1,4,0,0,1,170,0,5,0,1,118
1_20,1,5,2,0,1,1,0,0,2,1,1,1,180,0,4,0,2,78
1_21,1,3,2,0,0,0,1,0,2,0,0,3,50,0,4,0,2,41
1_22,1,3,2,0,1,1,1,0,2,0,1,1,57,0,4,0,0,35
1_23,1,3,2,0,1,1,1,1,3,1,0,1,171,1,2,0,0,78
1_24,1,2,3,0,1,1,0,2,3,1,0,1,130,0,2,1,0,76
1_25,1,4,3,0,1,1,1,0,3,1,1,1,119,0,1,0,0,76
1_26,1,2,3,1,0,0,1,0,4,0,0,2,258,0,2,0,0,139
1_27,1,1,3,0,1,0,0,3,1,0,0,1,70,0,3,0,0,55
4_1,4,1,2,0,0,0,0,1,4,0,0,1,30,0,1,0,0,21
4_2,4,1,2,0,0,0,0,1,1,0,0,1,21,0,4,0,0,0
4_3,4,1,3,0,0,0,0,2,4,0,0,1,25,0,2,0,0,25
4_4,4,2,3,0,1,1,0,0,1,0,0,1,49,0,4,0,0,16
4_5,4,2,1,0,0,0,0,0,4,0,0,1,30,0,2,0,0,25
4_6,4,2,3,1,1,1,0,1,1,1,0,1,67,0,4,0,0,0
4_7,4,5,1,1,0,0,0,1,1,0,0,2,119,0,5,0,0,111
4_8,4,8,1,0,0,0,0,2,1,0,0,2,66,0,5,0,0,59
4_9,4,2,1,1,0,0,1,0,1,0,0,2,67,0,4,0,0,0
4_10,4,12,3,0,0,0,0,0,4,0,0,1,121,0,5,0,0,113
4_11,4,4,3,0,0,0,0,1,4,0,0,1,121,0,5,0,1,85
4_12,4,9,1,0,0,0,0,1,2,0,0,1,33,0,5,0,0,30
4_13,4,5,2,0,1,0,0,0,3,1,4,2,54,0,4,0,0,54
4_14,4,2,1,1,0,0,0,0,3,0,0,2,57,0,5,0,0,0
4_15,4,2,1,1,0,0,0,0,2,0,0,2,90,0,5,0,0,0
4_16,4,3,1,1,0,0,0,5,4,0,0,2,135,0,5,1,0,2
 4_17,4,6,1,0,0,0,0,0,2,0,0,3,70,0,3,0,0,14
4_18,4,2,2,0,0,0,0,2,4,0,0,1,67,0,1,0,0,49
4_19,4,2,2,1,0,0,1,0,1,0,0,1,45,0,2,0,0,0
4_20,4,5,1,1,0,0,0,1,1,0,0,3,81,0,4,0,0,101
4_21,4,3,2,0,0,0,0,0,2,0,0,4,35,0,2,0,0,0
4_22,4,5,3,0,0,0,0,1,3,0,4,2,155,0,4,1,3,92
4_23,4,2,2,0,0,0,0,0,1,0,0,1,120,0,2,0,0,0
4_24,4,1,2,0,0,0,0,2,2,0,0,1,22,0,3,0,0,20
4_25,4,9,1,1,0,0,0,0,2,0,0,1,76,0,3,0,0,8
4_26,4,1,2,0,0,0,0,1,1,0,0,1,27,0,2,0,0,27
4_27,4,1,2,0,0,0,0,0,1,0,0,1,17,0,1,0,0,10
4_28,4,1,3,0,0,0,0,3,4,0,0,1,93,0,2,0,0,81
4_29,4,3,3,0,0,0,0,2,4,0,0,1,110,0,1,0,0,105
4_30,4,3,1,1,0,0,1,2,1,0,0,1,173,0,2,0,0,173
4_31,4,4,1,1,0,0,1,0,4,0,0,2,67,0,5,0,0,17
4_32,4,3,2,0,0,0,0,0,2,0,0,1,210,0,3,0,0,224
7_1,7,2,2,0,0,0,1,1,4,0,0,2,109,0,4,0,0,94
7_2,7,2,1,1,0,0,1,0,1,0,0,2,125,0,2,0,0,0
7_3,7,2,2,0,0,0,1,1,4,0,0,2,136,0,3,0,0,114
7_4,7,2,2,0,0,0,0,2,4,0,0,1,107,0,3,0,0,66
7_5,7,2,1,0,0,0,0,0,2,0,0,1,79,0,3,0,0,0
7_6,7,4,2,0,0,0,0,2,2,1,0,1,132,0,2,0,1,97
7_7,7,5,1,0,0,0,0,0,2,0,0,1,67,0,3,0,2,35
7_8,7,5,2,0,0,0,0,0,4,0,0,1,12,0,3,0,0,12
7_9,7,2,2,0,1,0,0,0,3,0,1,1,40,0,2,0,0,35
7_10,7,1,1,0,1,0,0,0,3,0,0,1,47,0,3,0,0,0
7_11,7,1,1,0,0,0,0,0,3,0,1,1,5,0,2,0,1,4
7_12,7,1,1,0,0,0,0,0,2,0,0,1,4,0,2,0,1,0
7_13,7,1,2,0,1,0,0,0,3,0,1,1,3,0,2,0,1,3
7_14,7,1,3,0,0,0,0,0,2,0,0,1,4,0,2,0,1,0
7_15,7,1,2,0,1,0,0,0,3,0,1,1,3,0,2,0,1,3
7_16,7,1,2,0,0,0,0,0,2,0,0,1,3,0,2,0,1,0
7_17,7,1,2,0,1,0,0,0,3,0,1,1,2,0,2,0,1,2
7_18,7,1,2,0,0,0,0,0,2,0,0,1,3,0,2,0,1,0
7_19,7,1,2,0,1,0,0,0,3,0,1,1,6,0,2,0,1,6
7_20,7,2,1,1,0,0,0,0,2,0,0,1,2,0,2,0,1,0
7_21,7,2,1,0,1,0,0,1,3,0,1,1,7,0,2,0,1,7
7_22,7,2,2,0,0,0,1,0,2,0,0,2,53,0,2,0,0,0
7_23,7,1,1,0,0,0,1,0,1,0,0,1,52,0,2,0,0,0
7_24,7,2,1,0,0,0,0,0,4,0,0,1,24,0,3,0,0,0
7_25,7,1,1,0,0,0,0,0,1,0,0,1,75,0,3,0,0,0
7_26,7,1,1,0,0,0,0,0,4,0,0,1,83,0,3,0,0,0
7_27,7,1,1,0,0,0,0,0,2,0,0,1,7,0,2,0,0,7
7_28,7,1,1,0,0,0,0,0,4,0,0,1,4,0,3,0,0,0
7_29,7,2,2,0,1,1,0,0,2,5,0,1,65,0,2,0,0,42
7_30,7,2,2,0,0,0,0,0,2,0,0,1,58,0,2,0,0,0
10_1,10,5,1,1,0,0,0,0,1,0,0,3,66,0,5,0,0,66
10_2,10,10,3,1,1,1,0,1,2,0,1,3,99,0,5,0,1,67
10_3,10,20,3,0,1,1,0,2,3,0,3,1,240,0,3,0,2,170
10_4,10,4,2,0,0,0,0,0,4,0,1,1,52,0,3,0,0,0
10_5,10,8,3,0,1,1,0,0,3,0,0,1,130,0,3,1,0,130
10_6,10,8,2,0,0,0,0,0,2,0,0,1,104,0,5,1,1,66
10_7,10,2,2,0,0,0,0,1,1,0,0,1,71,0,3,0,0,0
10_8,10,2,2,0,0,0,1,0,4,0,0,1,102,0,3,0,0,0
10_9,10,10,1,1,0,0,1,0,4,0,0,3,78,0,2,0,0,0
10_10,10,2,1,0,0,0,0,2,1,0,0,1,58,0,2,0,0,58
10_11,10,5,2,0,0,0,0,3,2,0,0,1,110,0,5,1,2,110
10_12,10,6,1,0,0,0,0,0,1,0,0,1,75,0,3,0,0,61
10_13,10,3,3,0,0,1,0,2,4,1,0,1,88,0,3,0,0,88
10_14,10,1,1,0,0,0,0,0,4,0,0,1,25,0,3,0,0,25
10_15,10,2,2,0,1,1,0,0,3,0,2,1,75,0,3,0,0,0
10_16,10,3,1,0,0,0,0,0,1,0,0,1,142,0,2,0,0,108
10_17,10,4,2,1,0,0,1,0,4,0,0,3,177,0,2,0,0,0
10_18,10,2,1,0,0,0,0,1,1,0,0,1,167,0,2,0,0,167
10_19,10,4,1,1,0,0,0,0,2,0,0,1,123,0,5,0,0,0
10_20,10,12,1,1,0,1,0,1,2,0,0,1,217,0,5,0,1,195
10_21,10,2,2,0,0,0,0,0,4,0,0,1,113,0,3,0,0,0
10_22,10,5,1,1,1,1,1,0,4,1,1,3,89,0,3,1,1,89
10_23,10,6,1,0,0,0,0,2,1,0,0,1,196,0,3,0,0,143
10_24,10,2,2,0,0,0,0,0,4,0,0,1,32,0,2,0,0,32
10_25,10,10,2,0,0,0,0,0,3,0,0,1,93,0,3,0,0,0
10_26,10,5,1,1,0,0,0,1,1,0,0,1,54,0,3,0,0,54
10_27,10,3,1,0,1,0,0,1,4,0,0,1,30,0,2,0,0,0
10_28,10,4,1,1,0,0,0,0,1,0,0,1,16,0,3,0,0,16
10_29,10,4,3,0,1,1,0,0,4,0,0,1,64,0,2,0,0,0
10_30,10,3,1,1,0,0,1,0,2,0,0,1,126,0,5,0,0,0
10_31,10,3,2,0,1,1,0,1,4,0,0,1,108,0,2,0,0,180
11_1,11,4,3,0,1,1,1,3,3,0,2,1,135,0,2,0,2,135
11_2,11,2,1,1,0,0,0,0,4,0,0,1,38,0,2,0,0,0
11_3,11,2,3,1,1,1,1,0,4,0,0,1,122,0,2,0,0,0
11_4,11,8,1,0,0,0,0,1,4,0,0,1,139,0,3,0,0,139
11_5,11,2,3,1,1,1,1,0,4,1,0,1,210,0,2,0,0,0
11_6,11,2,1,1,0,0,0,0,2,0,0,3,90,1,5,0,0,90
11_7,11,8,3,1,1,0,0,1,3,1,4,1,263,0,3,0,2,193
11_8,11,3,1,1,0,0,0,0,1,0,0,1,43,0,3,0,0,0
11_9,11,3,1,1,0,0,1,0,4,0,0,1,101,0,3,0,1,101
11_10,11,3,1,1,0,0,0,0,4,0,0,3,91,0,3,0,0,0
11_11,11,8,1,1,0,0,0,1,3,0,0,1,178,0,3,1,1,113
11_12,11,3,1,0,0,0,0,1,4,0,0,1,65,0,2,0,0,65
11_13,11,2,1,0,0,0,0,0,4,0,0,1,87,0,3,0,0,87
11_14,11,3,1,0,0,0,0,0,1,0,0,1,49,0,3,0,0,49
11_15,11,4,1,0,0,0,0,1,4,0,0,1,85,0,3,0,0,85
11_16,11,7,1,1,0,0,0,0,2,0,0,1,47,0,3,0,0,0
11_17,11,3,1,0,0,0,0,0,4,0,0,1,128,0,3,0,0,0
11_18,11,2,2,0,0,0,0,0,2,0,0,1,117,0,2,0,0,0
11_19,11,3,2,1,0,0,0,0,4,0,0,2,135,0,4,0,0,0
11_20,11,2,2,1,0,0,0,1,4,0,0,2,73,0,4,0,0,73
11_21,11,4,3,1,0,0,0,1,2,0,0,2,138,0,5,0,1,41
11_22,11,1,3,0,0,0,0,2,4,0,0,2,71,0,2,1,0,71
11_23,11,2,2,1,0,0,1,0,4,0,0,2,130,0,2,0,0,0
11_24,11,2,3,0,0,0,0,0,2,0,0,1,30,0,3,1,0,30
11_25,11,2,3,1,1,0,1,0,4,0,0,1,151,0,2,0,0,0
11_26,11,4,3,0,1,0,0,0,2,0,0,1,117,1,4,0,0,117
11_27,11,2,3,0,1,0,0,0,4,0,0,1,26,0,1,0,0,0